"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
15167,"2020 Maruti XL6 Zeta","₹ 9.50 Lakh","2020","1462 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Petrol","103.2bhp",6,"19.01 kmpl","MUV","Delhi"
15169,"2018 Maruti Celerio X AMT ZXI Option BSIV","₹ 4.50 Lakh","2018","998 cc","Third Party insurance","Automatic","40,000 Kms","First Owner","Petrol","67bhp",5,"21.63 kmpl","Hatchback","Delhi"
15170,"2018 Land Rover Range Rover Evoque 2.0 TD4 SE","₹ 45.50 Lakh","2018","1999 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Diesel","177bhp",5,"15.68 kmpl","SUV","Delhi"
15175,"2020 Maruti Swift VXI","₹ 5.50 Lakh","2020","1197 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Hatchback","Delhi"
15178,"2020 Maruti XL6 Zeta","₹ 9 Lakh","2020","1462 cc","Third Party insurance","Manual","40,000 Kms","Second Owner","Petrol","103.2bhp",6,"19.01 kmpl","MUV","Delhi"
15179,"2018 Mahindra TUV 300 mHAWK100 T8 Dual Tone","₹ 8.25 Lakh","2018","1493 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","100bhp",7,"18.49 kmpl","SUV","Delhi"
15184,"2020 Mahindra XUV300 W8 Option BSVI","₹ 11.21 Lakh","2020","1197 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","108.62bhp",5,"16.82 kmpl","SUV","Delhi"
15195,"2018 Mahindra XUV500 AT W9 2WD","₹ 11 Lakh","2018","2179 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Diesel","138bhp",7,"16 kmpl","SUV","Delhi"
15198,"2020 Renault Triber RXZ BSVI","₹ 7.20 Lakh","2020","999 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Petrol","71.01bhp",7,"20 kmpl","MUV","Delhi"
15211,"2019 Mahindra Bolero SLE","₹ 7 Lakh","2019","2523 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Diesel","62.1bhp",7,"15.96 kmpl","SUV","Delhi"
15214,"2019 Hyundai Grand i10 1.2 CRDi Sportz","₹ 5.90 Lakh","2019","1186 cc","Third Party insurance","Manual","1,10,000 Kms","First Owner","Diesel","73.97bhp",5,"24 kmpl","Hatchback","Delhi"
15216,"2018 Renault KWID 1.0 AMT RXT","₹ 3.10 Lakh","2018","999 cc","Third Party insurance","Automatic","50,000 Kms","Third Owner","Petrol","67bhp",5,"24.04 kmpl","Hatchback","Gurgaon"
15233,"2019 Renault Triber RXZ BSIV","₹ 6 Lakh","2019","999 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","72bhp",7,"20 kmpl","MUV","Delhi"
